Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,BCA MAD-Outlier Count,BCA MAD-Outlier PIDs,Descriptive Only (N < 20),Pearson_q_bh,Pearson_q_by,Pearson_p_holm,Spearman_q_bh,Spearman_q_by,Spearman_p_holm
All audit data; lateralization,Happy Caucasian,ROT minus LOT,Separation Anxiety,Separation Anxiety Raw,22,-0.7929988295851655,-0.9102716124397606,-0.5579238587803071,1.0745800211987e-05,-0.3928284672066918,0.07053245832416287,P27,-0.24390937772893506,-0.8462669850581319,-0.24390937772893506,1,P27,False,0.00016757550638746876,0.0007667300651723114,0.000558781611023324,0.447049544916714,1.0,1.0
All audit data; lateralization,Happy Caucasian,ROT minus LOT,Generalized Anxiety,Generalized Anxiety Raw,22,-0.5968025092522541,-0.8136762070172319,-0.23409678930329506,0.0033667777883733046,-0.40265333680390264,0.06318189264769954,P27,-0.21882499588284246,-0.779358543298382,-0.21882499588284246,1,P27,False,0.01652781823383259,0.07562188188935833,0.1481382226884254,0.447049544916714,1.0,1.0
All audit data; lateralization,Happy Caucasian,ROT minus LOT,Obsessive Compulsive,Obsessive Compulsive Raw,22,-0.11990872957760879,-0.5154584167812187,0.31776413480956056,0.595061038741446,-0.25503516407699844,0.2520175439257412,P30,-0.2899342713064745,-0.2899342713064745,-0.08733423434301657,1,P27,False,0.6985499150443062,1.0,1.0,0.5452345754625381,1.0,1.0
P27 omitted; lateralization,Angry Neutral,ROT minus LOT,Social Phobia,Social Phobia Raw,13,0.3793785736782718,-0.2169578696851507,0.7695113626962297,0.20107465065972138,0.37517562577416025,0.206522898099493,P6,0.27722394936383044,0.27722394936383044,0.47648062211607034,0,,True,0.7853670425688681,1.0,1.0,0.6626110603692734,1.0,1.0
P27 omitted; lateralization,Angry Neutral,ROT minus LOT,Panic Disorder,Panic Disorder Raw,13,0.3149370574883948,-0.2856086893727908,0.7378810426536793,0.29460095123158586,0.4769639068826702,0.09934434331482533,P8,0.5645514416701678,0.22395007766561542,0.5645514416701678,0,,True,0.7853670425688681,1.0,1.0,0.6626110603692734,1.0,1.0
P27 omitted; lateralization,Angry Neutral,ROT minus LOT,Major Depression,Major Depression Raw,13,0.06122141136928828,-0.5068613886211627,0.5922295676921712,0.8425132629283691,-0.019310510150140597,0.950073583735741,P6,-0.12060634761674767,-0.12060634761674767,0.18246942733435415,0,,True,0.9284840040435088,1.0,1.0,0.9679995004100003,1.0,1.0
P27 omitted; lateralization,Angry Neutral,ROT minus LOT,Separation Anxiety,Separation Anxiety Raw,13,0.16682222742548056,-0.4230482273485236,0.6573831119640549,0.5859448426997517,0.062353227186381616,0.8396353354774302,P4,0.04187508245859419,0.04187508245859419,0.26599292823806964,0,,True,0.8653478343428429,1.0,1.0,0.8861001602164403,1.0,1.0
P27 omitted; lateralization,Angry Neutral,ROT minus LOT,Generalized Anxiety,Generalized Anxiety Raw,13,0.10452838466826067,-0.4737413912694762,0.6198162361032137,0.7339768040661231,0.14827625875009737,0.6287858679329428,P6,-0.05016541777142013,-0.05016541777142013,0.1905572131013341,0,,True,0.9217383120830384,1.0,1.0,0.8861001602164403,1.0,1.0
P27 omitted; lateralization,Angry Neutral,ROT minus LOT,Obsessive Compulsive,Obsessive Compulsive Raw,13,-0.17486675556039494,-0.6620629467175729,0.4162210317135246,0.5677319061141225,-0.11421720644876619,0.710234823119658,P11,0.1578339350156308,-0.28158541201302784,0.1578339350156308,0,,True,0.8653478343428429,1.0,1.0,0.8861001602164403,1.0,1.0
P27 omitted; lateralization,Negative Valence,ROT minus LOT,Social Phobia,Social Phobia Raw,34,0.0006901595934747304,-0.33755431930007035,0.33877679071872635,0.9969091980932407,-0.03324919509637826,0.8519161349334997,P23,0.12834114654417964,-0.07402913244537307,0.12834114654417964,0,,False,0.9969091980932407,1.0,1.0,0.8861001602164403,1.0,1.0
P27 omitted; lateralization,Negative Valence,ROT minus LOT,Panic Disorder,Panic Disorder Raw,34,-0.047574071072234714,-0.37963227546416095,0.2953430821561356,0.7893326569211827,-0.03367780928694986,0.8500286210505096,P4,0.0006203971225908437,-0.08197826724336504,0.0006203971225908437,0,,False,0.9284840040435088,1.0,1.0,0.8861001602164403,1.0,1.0
P27 omitted; lateralization,Negative Valence,ROT minus LOT,Major Depression,Major Depression Raw,34,0.09503049793807948,-0.25120803485949006,0.4197084227971101,0.5929235161237998,0.08106335680183545,0.6485713915404043,P7,0.03593972348822241,0.03593972348822241,0.1473748352347875,0,,False,0.8653478343428429,1.0,1.0,0.8861001602164403,1.0,1.0
P27 omitted; lateralization,Negative Valence,ROT minus LOT,Separation Anxiety,Separation Anxiety Raw,34,-0.1495859768278176,-0.4642668093393966,0.19862724971789839,0.3984631185839339,-0.09942530745258157,0.5758556378121904,P23,-0.0552535737172139,-0.20984257643760384,-0.0552535737172139,0,,False,0.7853670425688681,1.0,1.0,0.8861001602164403,1.0,1.0
P27 omitted; lateralization,Negative Valence,ROT minus LOT,Generalized Anxiety,Generalized Anxiety Raw,34,0.18519881541812916,-0.16318693511734125,0.4925190837464788,0.2943630913979393,0.2155350432840811,0.22087035345642445,P16,0.35152059755998466,0.10710990474040284,0.35152059755998466,0,,False,0.7853670425688681,1.0,1.0,0.6626110603692734,1.0,1.0
P27 omitted; lateralization,Negative Valence,ROT minus LOT,Obsessive Compulsive,Obsessive Compulsive Raw,34,0.11983501338001712,-0.22755202315649758,0.4401634859281688,0.49964090907119985,0.032939233407664734,0.8532816357639795,P30,0.21016961810747106,0.03397317912836619,0.21016961810747106,0,,False,0.8431440340576498,1.0,1.0,0.8861001602164403,1.0,1.0
P27 omitted; lateralization,Neutral Angry,ROT minus LOT,Social Phobia,Social Phobia Raw,34,0.06564015270420863,-0.27871218853957436,0.39503711357617133,0.7122570727671589,0.03830552430458325,0.829703468312385,P25,-0.13644647014475453,-0.13644647014475453,0.15444196967482576,1,P25,False,0.9217383120830384,1.0,1.0,0.8861001602164403,1.0,1.0
P27 omitted; lateralization,Neutral Angry,ROT minus LOT,Panic Disorder,Panic Disorder Raw,34,-0.08303895121892575,-0.4096998968596857,0.262497931128898,0.6405764953399821,0.22106855545699663,0.20895682200603052,P8,0.11152181315910466,-0.13022728516349935,0.11152181315910466,1,P25,False,0.9102929144305008,1.0,1.0,0.6626110603692734,1.0,1.0
P27 omitted; lateralization,Neutral Angry,ROT minus LOT,Major Depression,Major Depression Raw,34,-0.10944422705300588,-0.43163499136335626,0.23751185154751606,0.5377959773910328,0.08904686921413743,0.6165094420881341,P25,0.08833675338283305,-0.21427358313133146,0.08833675338283305,1,P25,False,0.8541465523269344,1.0,1.0,0.8861001602164403,1.0,1.0
P27 omitted; lateralization,Neutral Angry,ROT minus LOT,Separation Anxiety,Separation Anxiety Raw,34,-0.20120674221408458,-0.5050108840454267,0.14695816826676375,0.2538449171413622,-0.1457926652317198,0.410666277149225,P8,-0.09634227256512698,-0.28826268763024854,-0.09634227256512698,1,P25,False,0.7853670425688681,1.0,1.0,0.791999248787791,1.0,1.0
P27 omitted; lateralization,Neutral Angry,ROT minus LOT,Generalized Anxiety,Generalized Anxiety Raw,34,-0.13410182935352127,-0.45177992254706667,0.21375747899137604,0.4495781878788715,-0.03326635628576988,0.8518405455838978,P26,-0.21752111023438372,-0.21752111023438372,-0.05143041678023905,1,P25,False,0.7853670425688681,1.0,1.0,0.8861001602164403,1.0,1.0
