Stimulus Family,Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,Pearson q (BH-FDR),Pearson q (BY-FDR),Pearson p (Holm),Spearman q (BH-FDR),Spearman q (BY-FDR),Spearman p (Holm)
Valence,All 35 participants,Positive Valence,PO,Social Phobia,Social Phobia Raw,35,-0.1123983508975891,-0.4295553160200182,0.2294422662572737,0.5203213204319947,-0.04886971474938978,0.7804108172865819,P25,-0.04203550201645682,-0.17193364254319504,-0.04203550201645682,0.8552620411157117,1.0,1.0,0.926326229061466,1.0,1.0
Valence,All 35 participants,Positive Valence,PO,Panic Disorder,Panic Disorder Raw,35,-0.16401950705471655,-0.47149465632905113,0.17901162192760622,0.3464439151516191,-0.16892708344201815,0.3320033553456284,P4,-0.07492381723755581,-0.24826318159001778,-0.07492381723755581,0.7558776330580781,1.0,1.0,0.926326229061466,1.0,1.0
Valence,All 35 participants,Positive Valence,CP,Social Phobia,Social Phobia Raw,35,-0.20659070882857022,-0.5050656832559858,0.13602023590579618,0.23376448424788962,-0.027664752315028126,0.8746514761212861,P25,-0.0008462112468549249,-0.24241252221354745,-0.0008462112468549249,0.7558776330580781,1.0,1.0,0.926326229061466,1.0,1.0
Valence,All 35 participants,Positive Valence,CP,Panic Disorder,Panic Disorder Raw,35,-0.019463663466848996,-0.3504372027350557,0.3158314264477285,0.9116345422516661,-0.07399402398674663,0.6727065013266345,P25,-0.07777254824993671,-0.07777254824993671,0.01122686024686747,0.9512708266973906,1.0,1.0,0.926326229061466,1.0,1.0
Valence,All 35 participants,Negative Valence,LOT,Social Phobia,Social Phobia Raw,35,-0.17680581695546133,-0.481672266468343,0.16623529940320375,0.30960917817720757,-0.23999523708823894,0.1649365125763276,P23,-0.3095124649547804,-0.3095124649547804,-0.0822396823750699,0.7558776330580781,1.0,1.0,0.926326229061466,1.0,1.0
Valence,All 35 participants,Negative Valence,LOT,Panic Disorder,Panic Disorder Raw,35,-0.17016987159984345,-0.47640045085530824,0.1728804687751634,0.3284062068640468,-0.16284344475859538,0.34996027809446506,P27,-0.0954034854380551,-0.23912234529730245,-0.0954034854380551,0.7558776330580781,1.0,1.0,0.926326229061466,1.0,1.0
Valence,All 35 participants,Negative Valence,ROT,Social Phobia,Social Phobia Raw,35,-0.29982448625958563,-0.5755633462502996,0.03713213296740133,0.08013956854581708,-0.09394781369925795,0.5914007890891136,P27,-0.09366558096612569,-0.3362576485915036,-0.09366558096612569,0.7398835406279098,1.0,1.0,0.926326229061466,1.0,1.0
Valence,All 35 participants,Negative Valence,ROT,Panic Disorder,Panic Disorder Raw,35,-0.2702810581627277,-0.5536593760996772,0.06919818252234071,0.1163406907522301,-0.08884942077184874,0.611764639654879,P27,-0.15451412899344358,-0.310283067670412,-0.15451412899344358,0.7398835406279098,1.0,1.0,0.926326229061466,1.0,1.0
Valence,All 35 participants,Negative Valence,O,Social Phobia,Social Phobia Raw,35,-0.2033780437224995,-0.5025633425112939,0.13931025778126516,0.24127741275919504,-0.4415125953220732,0.007927530316301123,P4,-0.46629862326368415,-0.46629862326368415,-0.1677951079351977,0.7558776330580781,1.0,1.0,0.19026072759122695,0.7184165502534258,0.19026072759122695
Valence,All 35 participants,Negative Valence,O,Panic Disorder,Panic Disorder Raw,35,-0.24720616193060693,-0.5362741228815676,0.09376478152043706,0.15222722250992848,-0.189866118910543,0.2746380500328737,P4,-0.2816268682999227,-0.2816268682999227,-0.21972355334271562,0.7398835406279098,1.0,1.0,0.926326229061466,1.0,1.0
Valence,All 35 participants,Negative Valence,Frontal,Social Phobia,Social Phobia Raw,35,0.0062514748218269215,-0.32767771494911135,0.33879221951963484,0.9715683394638084,-0.1386046220047348,0.4271606310067665,P1,-0.16384531649225426,-0.16384531649225426,0.03376275754236597,0.9715683394638084,1.0,1.0,0.926326229061466,1.0,1.0
Valence,All 35 participants,Negative Valence,Frontal,Panic Disorder,Panic Disorder Raw,35,-0.07602841619206147,-0.399161716873273,0.2639044665568833,0.6642272635250667,0.026032314366274154,0.8819947290347903,P1,-0.00014105936598819702,-0.09147271750753729,-0.00014105936598819702,0.8552620411157117,1.0,1.0,0.926326229061466,1.0,1.0
Valence,All 35 participants,Negative Valence,PO,Social Phobia,Social Phobia Raw,35,-0.10146107360804743,-0.4204901920939922,0.23989675251947098,0.5619468397221089,-0.14590699317418387,0.40296499284089315,P23,-0.1834636833188626,-0.1834636833188626,-0.030904235205284205,0.8552620411157117,1.0,1.0,0.926326229061466,1.0,1.0
Valence,All 35 participants,Negative Valence,PO,Panic Disorder,Panic Disorder Raw,35,0.048053640842381465,-0.28983422487466587,0.37529039395640507,0.783990204356069,0.024758994641836833,0.8877293028505716,P4,-0.07736052846739863,-0.07736052846739863,0.1137186634478777,0.8552620411157117,1.0,1.0,0.926326229061466,1.0,1.0
Valence,All 35 participants,Negative Valence,CP,Social Phobia,Social Phobia Raw,35,0.17632569763525702,-0.16671713395487842,0.48129158274637923,0.31094594629689903,0.10630567260140249,0.5433209968090138,P25,-0.018661333345138115,-0.018661333345138115,0.23011008054788168,0.7558776330580781,1.0,1.0,0.926326229061466,1.0,1.0
Valence,All 35 participants,Negative Valence,CP,Panic Disorder,Panic Disorder Raw,35,0.06192612180754095,-0.2770375542599112,0.3871825101813083,0.7237929777719446,0.14742212809596558,0.39804483617465847,P25,0.12934200177176308,0.015753159642146575,0.12934200177176308,0.8552620411157117,1.0,1.0,0.926326229061466,1.0,1.0
Valence,P27 omitted,Positive Valence,LOT,Social Phobia,Social Phobia Raw,34,-0.17123685706371872,-0.4815194800676019,0.1771892369669249,0.3328927050399557,-0.11476335081653143,0.5180914688655964,P25,-0.03268814829345011,-0.2373968353241651,-0.03268814829345011,0.7976918861093244,1.0,1.0,0.8637110843249772,1.0,1.0
Valence,P27 omitted,Positive Valence,LOT,Panic Disorder,Panic Disorder Raw,34,-0.10565874498965022,-0.42851358241528464,0.24112229150496892,0.5520338466573902,-0.1479969784261375,0.4035494323482318,P25,-0.15612314547768072,-0.15612314547768072,-0.05697196061011578,0.7976918861093244,1.0,1.0,0.8637110843249772,1.0,1.0
Valence,P27 omitted,Positive Valence,ROT,Social Phobia,Social Phobia Raw,34,0.06958853932754491,-0.2750497548526141,0.3983793911204341,0.6957494439616125,0.12916622795505472,0.4665836275093459,P25,0.16320167765457233,-0.011990646062710053,0.16320167765457233,0.834899332753935,1.0,1.0,0.8637110843249772,1.0,1.0
Valence,P27 omitted,Positive Valence,ROT,Panic Disorder,Panic Disorder Raw,34,0.10716431597105712,-0.23968748741983592,0.4297559603214881,0.5463500725863281,0.0976347498594143,0.582782836753208,P8,-0.09082876382308284,-0.09082876382308284,0.17475722225683948,0.7976918861093244,1.0,1.0,0.8637110843249772,1.0,1.0
Valence,P27 omitted,Positive Valence,O,Social Phobia,Social Phobia Raw,34,-0.12013827212425186,-0.4404115280383606,0.22726024634805383,0.498548292988851,-0.02466875765215161,0.8898587812905222,P25,-0.04686446481349366,-0.18588423237360777,-0.04686446481349366,0.7976918861093244,1.0,1.0,0.9287267996635848,1.0,1.0
Valence,P27 omitted,Positive Valence,O,Panic Disorder,Panic Disorder Raw,34,-0.1587424550628992,-0.4715924775941172,0.18960127671881818,0.36987792108031714,-0.14336241751508932,0.41859420934253644,P4,-0.02607206189762128,-0.19789856112037396,-0.02607206189762128,0.7976918861093244,1.0,1.0,0.8637110843249772,1.0,1.0
