Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,Pearson q (BH-FDR),Pearson q (BY-FDR),Pearson p (Holm),Spearman q (BH-FDR),Spearman q (BY-FDR),Spearman p (Holm)
All 35 participants; T scores,Neutral Angry,CP,Panic Disorder,Panic Disorder T,35,0.04881418250916591,-0.2891357793550624,0.3759451677588698,0.7806542478158314,0.02434590209682258,0.8895909420901097,P35,0.10765199288339927,0.005343830404212738,0.10765199288339927,0.9367850973789976,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Angry,CP,Major Depression,Major Depression T,35,0.20383548484043568,-0.13884226354792148,0.5029199491486205,0.2401978907948853,0.0788607322494738,0.6524904502519846,P25,0.05677621370470483,0.05677621370470483,0.2459039638123405,0.7105548198254538,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Angry,CP,Separation Anxiety,Separation Anxiety T,35,0.11983992241420877,-0.22228380139661316,0.4356867753303851,0.49289487624798367,0.02092262904696727,0.9050396782095643,P27,0.22372069312346654,0.02789425988136339,0.22372069312346654,0.8149014905509329,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Angry,CP,Generalized Anxiety,Generalized Anxiety T,35,0.17025930111862447,-0.17279112207141153,0.4764716433100889,0.3281482936925871,0.07604139067397903,0.6641733165273271,P27,0.23797534433168543,0.11699028623571478,0.23797534433168543,0.7476796565147554,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Angry,CP,Obsessive Compulsive,Obsessive Compulsive T,35,0.17301704802161302,-0.1700331548365518,0.4786650426303718,0.3202565685902917,0.053372743794906925,0.7607416274954734,P30,0.25159178076875754,0.09863658352269791,0.25159178076875754,0.7476796565147554,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Happy,LOT,Social Phobia,Social Phobia T,35,0.22348642479864236,-0.11859241803453763,0.5181436612065646,0.19686272576325062,0.24372477692018474,0.15827134511429233,P20,0.1331925881385557,0.1331925881385557,0.26585273472721194,0.6917171547254705,1.0,1.0,0.7528498093073327,1.0,1.0
All 35 participants; T scores,Neutral Happy,LOT,Panic Disorder,Panic Disorder T,35,0.2782077674679523,-0.06066294668858621,0.5595751091902336,0.10560770443842585,0.39643009368063126,0.018390736001159126,P7,0.3277649478866199,0.23415346606405926,0.3277649478866199,0.5542899746379294,1.0,1.0,0.38171671708568766,1.0,1.0
All 35 participants; T scores,Neutral Happy,LOT,Major Depression,Major Depression T,35,-0.05436929050769143,-0.38071784516475615,0.2840232955362936,0.7564081096451228,-0.04756901820742281,0.7861178805865479,P27,-0.17884344132452104,-0.17884344132452104,0.014548383721202436,0.9239871091140355,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Happy,LOT,Separation Anxiety,Separation Anxiety T,35,0.2765570462052914,-0.06244448720364411,0.5583455287987618,0.10777860617959739,0.02232683233871004,0.8986982408187278,P27,0.10105997556738641,0.10105997556738641,0.34345847595229007,0.5542899746379294,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Happy,LOT,Generalized Anxiety,Generalized Anxiety T,35,0.08580670692071793,-0.25472360527908916,0.4074036307911011,0.6240568936016238,0.09110885141863784,0.6027035167938717,P27,-0.07700093517279098,-0.07700093517279098,0.1925938786878253,0.8829085367608915,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Happy,LOT,Obsessive Compulsive,Obsessive Compulsive T,35,0.1774420594239558,-0.16559653147954934,0.482176562097995,0.3078433124500581,0.17734435504339444,0.3081140731502426,P20,0.08005533982935095,0.08005533982935095,0.21757522450750688,0.7476796565147554,1.0,1.0,0.8523026095631938,1.0,1.0
All 35 participants; T scores,Neutral Happy,ROT,Social Phobia,Social Phobia T,35,0.27691358175548264,-0.062059879124069045,0.5586112079461881,0.1073068893012134,0.12074052527518932,0.48962655354726936,P27,0.07187864542299294,0.07187864542299294,0.30211231211473255,0.5542899746379294,1.0,1.0,0.9812653173041066,1.0,1.0
All 35 participants; T scores,Neutral Happy,ROT,Panic Disorder,Panic Disorder T,35,0.17498036052944554,-0.1680664051047196,0.4802242598905358,0.31471100087324605,0.0685344180413445,0.6956563828800011,P27,-0.044318627569481975,-0.044318627569481975,0.2490909769436805,0.7476796565147554,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Happy,ROT,Major Depression,Major Depression T,35,0.30802706110168504,-0.028104367363998347,0.5815754900822356,0.07183113183414798,0.0009822511134276097,0.9955318495349241,P27,-0.07203176171936337,-0.07203176171936337,0.33477477565430025,0.5171841492058654,1.0,1.0,0.9955318495349241,1.0,1.0
All 35 participants; T scores,Neutral Happy,ROT,Separation Anxiety,Separation Anxiety T,35,0.5972815185641475,0.3296489637737564,0.7760596054382117,0.00015184000562107976,-0.1415436918076712,0.4173267752439792,P27,-0.1288950999529306,-0.1288950999529306,0.6468140587057352,0.009110400337264785,0.052593864869521285,0.027027521000552196,0.96834456555666,1.0,1.0
All 35 participants; T scores,Neutral Happy,ROT,Generalized Anxiety,Generalized Anxiety T,35,0.4510620560566784,0.1386578481292912,0.6818207953367487,0.0065371354872264574,0.01492664335452181,0.9321781180858814,P27,-0.04196032776989242,-0.04196032776989242,0.5470309038972005,0.1186325509699148,0.6848595148247387,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Happy,ROT,Obsessive Compulsive,Obsessive Compulsive T,35,0.047421788015358984,-0.2904142150744702,0.37474616386293236,0.7867645792835756,-0.0523843596505568,0.765046734203346,P30,0.10147512618160766,0.006360077755181173,0.10147512618160766,0.9378650613976397,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Happy,O,Social Phobia,Social Phobia T,35,0.13157930066144147,-0.21091554182356848,0.4453001687767561,0.45118078763682823,0.16645645005998808,0.33922618710618746,P4,0.2121948140228048,0.08852806986389851,0.2121948140228048,0.8149014905509329,1.0,1.0,0.8962092743044872,1.0,1.0
All 35 participants; T scores,Neutral Happy,O,Panic Disorder,Panic Disorder T,35,0.24803652221642,-0.09288788545418403,0.5369040224316329,0.15081070176009298,0.33605788559082267,0.04840818655932205,P24,0.2912291862610096,0.21946496769770302,0.2912291862610096,0.646331578971827,1.0,1.0,0.4149273133656176,1.0,1.0
All 35 participants; T scores,Neutral Happy,O,Major Depression,Major Depression T,35,0.03406430649498201,-0.30261749510837355,0.36318800890044267,0.845968836803841,-0.004349969216607985,0.9802143122481248,P27,-0.025033909703950814,-0.025033909703950814,0.0665198534679513,0.9466434873238069,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Happy,O,Separation Anxiety,Separation Anxiety T,35,0.14329519171263153,-0.1994768988933,0.45482275469377437,0.41152748587993265,-0.014603714234124807,0.9336421375962987,P27,0.04376590198765789,0.04376590198765789,0.18353472512720564,0.7965048113805148,1.0,1.0,0.9856903698584495,1.0,1.0
