Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,Pearson q (BH-FDR),Pearson q (BY-FDR),Pearson p (Holm),Spearman q (BH-FDR),Spearman q (BY-FDR),Spearman p (Holm)
All 35 participants,Neutral Happy,CP,Panic Disorder,Panic Disorder Raw,35,0.2219618398947158,-0.1201737160363185,0.5169691984267035,0.20001458343912037,0.5033857310608882,0.0020526046535295044,P8,0.30477444700802875,0.1522208773520962,0.30477444700802875,0.6357688508447555,1.0,1.0,0.18473441881765537,1.0,0.3674162329817813
All 35 participants,Neutral Happy,CP,Major Depression,Major Depression Raw,35,0.25574206704025143,-0.08472519590913956,0.5427340180027835,0.1381199338529799,0.4708493862628143,0.004307430556926399,P20,0.37554312683667523,0.15377120240949355,0.37554312683667523,0.5780340161155546,1.0,1.0,0.20385077956202888,1.0,0.7667226391328991
All 35 participants,Neutral Happy,CP,Separation Anxiety,Separation Anxiety Raw,35,0.18805047445977088,-0.15490342979545638,0.49055530587185725,0.27933905156815364,0.15593791614240313,0.37104023615388004,P20,0.10809613770061918,0.10809613770061918,0.21531721367537537,0.7108273625444959,1.0,1.0,0.9801851177210915,1.0,1.0
All 35 participants,Neutral Happy,CP,Generalized Anxiety,Generalized Anxiety Raw,35,0.24690984417993755,-0.09407757774556766,0.536049262452733,0.15273504491395942,0.5215710474591225,0.0013129012339561361,P25,0.2692598545978937,0.23119944827250172,0.2692598545978937,0.5780340161155546,1.0,1.0,0.18473441881765537,1.0,0.23632222211210452
All 35 participants,Neutral Happy,CP,Obsessive Compulsive,Obsessive Compulsive Raw,35,0.2891611363940362,-0.048786577925660136,0.5677027383376365,0.09203117096064285,0.42128686382125036,0.011722431190999078,P20,0.24018449048580648,0.24018449048580648,0.323887923041545,0.5019882052398701,1.0,1.0,0.26375470179747923,1.0,1.0
All 35 participants,Neutral Sad,LOT,Social Phobia,Social Phobia Raw,35,-0.37479647804653504,-0.6294277311099533,-0.04748019195148503,0.026530052855460055,-0.24336556224336925,0.15890470758167588,P27,-0.30291245454838084,-0.42032858309273163,-0.30291245454838084,0.2984630946239256,1.0,1.0,0.752706509597412,1.0,1.0
All 35 participants,Neutral Sad,LOT,Panic Disorder,Panic Disorder Raw,35,-0.31151541659287185,-0.5841232841344123,0.02424838794426502,0.06850862696637985,-0.31139741260961634,0.06861901607708192,P35,-0.37469843161373295,-0.37469843161373295,-0.25049745184165817,0.49040454861723204,1.0,1.0,0.5542841576346338,1.0,1.0
All 35 participants,Neutral Sad,LOT,Major Depression,Major Depression Raw,35,-0.29728213810687293,-0.5736938405534099,0.0399191240235534,0.08286035080817533,-0.2471713091316895,0.15228688873463353,P20,-0.4000257062460295,-0.4000257062460295,-0.19532407758522144,0.49040454861723204,1.0,1.0,0.7408551343847037,1.0,1.0
All 35 participants,Neutral Sad,LOT,Separation Anxiety,Separation Anxiety Raw,35,-0.4798153896357712,-0.7009778109050113,-0.17446529030433017,0.0035366334498691905,-0.2983469719802142,0.08171222431136155,P27,-0.3439170247927417,-0.5121286245989383,-0.3439170247927417,0.07136737453701328,0.41200012222724125,0.61183758682737,0.5883280150418031,1.0,1.0
All 35 participants,Neutral Sad,LOT,Generalized Anxiety,Generalized Anxiety Raw,35,-0.4152564214825975,-0.6575143153681758,-0.09518133323624704,0.013115006021717748,-0.36415039173320973,0.031511376550878246,P27,-0.290437261647074,-0.4508637445277462,-0.290437261647074,0.1863688555551051,1.0,1.0,0.4216344935846281,1.0,1.0
